2065,Ellen,1881,F,413
61,Ellen,1880,F,411
61,Ellen,1880,F,411
61,Ellen,1880,F,411
61,Ellen,1880,F,411
61,Ellen,1880,F,411
61,Ellen,1880,F,411
2067,Lizzie,1881,F,396
2067,Lizzie,1881,F,396
4007,Sadie,1882,F,391
4007,Sadie,1882,F,391
5010,Tom,1882,M,390
5010,Tom,1882,M,390
63,Effie,1880,F,406
63,Effie,1880,F,406
63,Effie,1880,F,406
2977,Jacob,1881,M,381
2977,Jacob,1881,M,381
5012,Earl,1882,M,377
5012,Earl,1882,M,377
2068,Susie,1881,F,367
2068,Susie,1881,F,367
2068,Susie,1881,F,367
983,Elmer,1880,M,373
983,Elmer,1880,M,373
69,Susie,1880,F,361
69,Susie,1880,F,361
987,Martin,1880,M,357
987,Martin,1880,M,357
987,Martin,1880,M,357
983,Elmer,1880,M,373
983,Elmer,1880,M,373
5014,Herman,1882,M,348
5014,Herman,1882,M,348
5014,Herman,1882,M,348
990,Herman,1880,M,347
990,Herman,1880,M,347
70,Maud,1880,F,345
70,Maud,1880,F,345
2070,Elsie,1881,F,344
2070,Elsie,1881,F,344
2070,Elsie,1881,F,344
71,Mae,1880,F,344
71,Mae,1880,F,344
71,Mae,1880,F,344
983,Elmer,1880,M,373
983,Elmer,1880,M,373
983,Elmer,1880,M,373
2977,Jacob,1881,M,381
2977,Jacob,1881,M,381
5018,Ben,1882,M,334
5018,Ben,1882,M,334
69,Susie,1880,F,361
69,Susie,1880,F,361
995,Eugene,1880,M,328
995,Eugene,1880,M,328
2071,Maud,1881,F,328
2071,Maud,1881,F,328
5019,Francis,1882,M,327
5019,Francis,1882,M,327
5019,Francis,1882,M,327
2985,Jim,1881,M,323
2985,Jim,1881,M,323
2985,Jim,1881,M,323
4017,Lottie,1882,F,319
4017,Lottie,1882,F,319
4017,Lottie,1882,F,319
74,Sadie,1880,F,317
74,Sadie,1880,F,317
74,Sadie,1880,F,317
2074,Etta,1881,F,316
2074,Etta,1881,F,316
2986,Earl,1881,M,314
2986,Earl,1881,M,314
2076,Lulu,1881,F,313
2076,Lulu,1881,F,313
2076,Lulu,1881,F,313
997,Ed,1880,M,310
997,Ed,1880,M,310
997,Ed,1880,M,310
75,Caroline,1880,F,306
75,Caroline,1880,F,306
75,Caroline,1880,F,306
75,Caroline,1880,F,306
1001,Charley,1880,M,305
1001,Charley,1880,M,305
5022,Edwin,1882,M,305
5022,Edwin,1882,M,305
4020,Caroline,1882,F,304
4020,Caroline,1882,F,304
1002,Paul,1880,M,301
1002,Paul,1880,M,301
5024,Harvey,1882,M,300
5024,Harvey,1882,M,300
2077,Lydia,1881,F,299
2077,Lydia,1881,F,299
5022,Edwin,1882,M,305
5022,Edwin,1882,M,305
4022,Kate,1882,F,293
4022,Kate,1882,F,293
4022,Kate,1882,F,293
2077,Lydia,1881,F,299
2077,Lydia,1881,F,299
4023,Olive,1882,F,291
4023,Olive,1882,F,291
4023,Olive,1882,F,291
4023,Olive,1882,F,291
2972,Roy,1881,M,440
2972,Roy,1881,M,440
2972,Roy,1881,M,440
4025,Harriet,1882,F,289
4025,Harriet,1882,F,289
2080,Lottie,1881,F,289
2080,Lottie,1881,F,289
2080,Lottie,1881,F,289
2996,Harvey,1881,M,282
2996,Harvey,1881,M,282
4027,Eliza,1882,F,280
4027,Eliza,1882,F,280
2083,Katie,1881,F,279
